customer_id,interaction_id,interaction_type,timestamp,query_summary,resolution_summary,sentiment,proactive_suggestion_made
CUST001,INT001,Technical Support,2023-02-23 14:10:43,Requested data top-up,Troubleshooting steps given,Neutral,Recommended recurring add-on
CUST001,INT002,Call,2023-01-25 13:12:51,Requested SIM replacement,Plan changed successfully,Negative,Recommended recurring add-on
CUST001,INT003,Email,2023-02-28 11:21:15,Requested SIM replacement,Call drop issue escalated,Neutral,Suggested higher data plan
CUST001,INT004,Data Top-up,2023-02-06 13:31:26,Reported slow internet,Roaming charges explained,Positive,Offered discount
CUST002,INT005,Email,2023-01-25 17:04:11,Inquired about new plan,SMS pack activated,Positive,None
CUST002,INT006,Call,2023-02-10 14:26:30,Asked about SMS pack,New plan details shared,Positive,None
CUST002,INT007,Data Top-up,2023-03-01 20:15:15,Requested plan change,Troubleshooting steps given,Positive,None
CUST002,INT008,Email,2023-02-13 20:31:41,Inquired about international calls,International call rates shared,Neutral,Offered discount
CUST002,INT009,Bill Inquiry,2023-03-06 19:11:56,Asked about data balance,Roaming charges explained,Positive,None
CUST003,INT010,Data Top-up,2023-02-07 10:39:00,Reported call drop,SMS pack activated,Neutral,Suggested higher data plan
CUST003,INT011,Chat,2023-02-13 15:20:40,Inquired about new plan,SMS pack activated,Positive,Recommended recurring add-on
CUST003,INT012,Bill Inquiry,2023-03-08 15:44:30,Asked about SMS pack,Provided data balance,Positive,Recommended recurring add-on
CUST003,INT013,Technical Support,2023-01-25 17:08:29,Inquired about international calls,Provided data balance,Neutral,Recommended recurring add-on
CUST004,INT014,Call,2023-02-10 09:39:07,Requested SIM replacement,Plan changed successfully,Positive,Suggested higher data plan
CUST004,INT015,Technical Support,2023-03-01 12:24:42,Requested data top-up,SMS pack activated,Positive,None
CUST004,INT016,Technical Support,2023-03-25 13:00:08,Inquired about international calls,SIM replacement initiated,Neutral,None
CUST005,INT017,Chat,2023-02-21 20:01:38,Requested plan change,No resolution,Neutral,Offered discount
CUST005,INT018,Data Top-up,2023-02-03 19:43:00,Reported network outage,Data top-up processed,Positive,None
CUST005,INT019,Chat,2023-01-29 10:49:52,Reported network outage,Call drop issue escalated,Positive,None
CUST005,INT020,Bill Inquiry,2023-01-28 11:43:38,Asked about SMS pack,Roaming charges explained,Positive,Suggested higher data plan
CUST005,INT021,Bill Inquiry,2023-03-07 15:39:02,Asked about bill,SIM replacement initiated,Neutral,Recommended recurring add-on
CUST005,INT022,Chat,2023-03-25 17:47:34,Asked about SMS pack,Technician scheduled,Positive,Suggested higher data plan
CUST006,INT023,Data Top-up,2023-02-02 08:54:38,Reported call drop,Troubleshooting steps given,Neutral,Suggested higher data plan
CUST006,INT024,Bill Inquiry,2023-01-17 16:54:41,Asked about SMS pack,SIM replacement initiated,Positive,Offered discount
CUST006,INT025,Email,2023-03-02 08:10:10,Requested SIM replacement,International call rates shared,Positive,None
CUST006,INT026,Chat,2023-01-07 20:10:50,Asked about data balance,Data top-up processed,Neutral,Suggested higher data plan
CUST006,INT027,Email,2023-01-24 19:31:27,Requested data top-up,Provided data balance,Negative,Offered discount
CUST007,INT028,Data Top-up,2023-02-10 10:46:09,Requested SIM replacement,Data top-up processed,Neutral,Offered discount
CUST007,INT029,Data Top-up,2023-03-30 09:03:35,Asked about roaming charges,SIM replacement initiated,Negative,Offered discount
CUST007,INT030,Technical Support,2023-01-11 13:40:54,Requested data top-up,Provided data balance,Positive,None
CUST007,INT031,Technical Support,2023-03-01 12:32:50,Reported slow internet,No resolution,Negative,Suggested higher data plan
CUST007,INT032,Data Top-up,2023-03-10 16:30:50,Inquired about international calls,SMS pack activated,Neutral,Recommended recurring add-on
CUST007,INT033,Chat,2023-03-17 11:12:10,Inquired about new plan,International call rates shared,Neutral,Offered discount
CUST008,INT034,Data Top-up,2023-03-11 17:36:56,Asked about SMS pack,Call drop issue escalated,Positive,Suggested higher data plan
CUST008,INT035,Bill Inquiry,2023-01-14 16:49:13,Asked about bill,Bill details provided,Neutral,Suggested higher data plan
CUST008,INT036,Chat,2023-03-05 17:19:57,Reported call drop,No resolution,Negative,Recommended recurring add-on
CUST009,INT037,Call,2023-03-21 11:21:24,Requested SIM replacement,Troubleshooting steps given,Neutral,Recommended recurring add-on
CUST009,INT038,Data Top-up,2023-01-08 20:53:08,Asked about SMS pack,Technician scheduled,Negative,Suggested higher data plan
CUST009,INT039,Technical Support,2023-03-06 11:47:23,Requested data top-up,International call rates shared,Neutral,Recommended recurring add-on
CUST009,INT040,Data Top-up,2023-01-18 18:42:11,Requested data top-up,International call rates shared,Positive,Recommended recurring add-on
CUST009,INT041,Email,2023-03-14 20:42:37,Reported network outage,No resolution,Neutral,None
CUST010,INT042,Email,2023-02-06 18:29:14,Asked about roaming charges,Call drop issue escalated,Positive,Offered discount
CUST010,INT043,Email,2023-03-06 12:36:24,Requested plan change,Plan changed successfully,Neutral,None
CUST010,INT044,Bill Inquiry,2023-01-28 12:57:55,Asked about roaming charges,International call rates shared,Positive,Suggested higher data plan
CUST010,INT045,Email,2023-01-18 20:36:09,Asked about data balance,International call rates shared,Neutral,Suggested higher data plan
CUST010,INT046,Email,2023-01-31 20:50:03,Requested data top-up,Provided data balance,Neutral,Recommended recurring add-on
CUST010,INT047,Call,2023-03-23 12:34:28,Inquired about new plan,SMS pack activated,Neutral,Offered discount
CUST011,INT048,Bill Inquiry,2023-01-29 20:45:09,Asked about data balance,SIM replacement initiated,Neutral,Suggested higher data plan
CUST011,INT049,Email,2023-03-26 09:33:15,Reported call drop,Data top-up processed,Positive,Suggested higher data plan
CUST011,INT050,Technical Support,2023-03-07 11:24:18,Reported network outage,Provided data balance,Negative,Recommended recurring add-on
CUST011,INT051,Technical Support,2023-01-06 09:01:55,Inquired about international calls,New plan details shared,Positive,Recommended recurring add-on
CUST012,INT052,Technical Support,2023-01-13 18:45:49,Requested data top-up,Data top-up processed,Neutral,Suggested higher data plan
